center_type,name,total_capacity,priority,country_code,address_line_1,address_line_2,city,state_province,postal_code,department_id,arrondissement_id,commune_id,communal_section_id,diplomatic_mission_id,notes
domestic,Lycée Alexandre Pétion,3150,10,HT,Rue Capois,Champ de Mars,Port-au-Prince,Ouest,HT6113,1,1,1,410,,Centre principal zòn Turgeau
domestic,Lycée Toussaint Louverture,2700,10,HT,Avenue Lamartinière,Bois Verna,Port-au-Prince,Ouest,HT6113,1,1,1,410,,Lycée istorik zòn Bois Verna
domestic,Institution Saint-Louis de Gonzague,1800,9,HT,Avenue Jean-Paul II,Delmas 33,Port-au-Prince,Ouest,HT6113,1,1,1,410,,
domestic,Collège Catts Pressoir,1350,8,HT,Rue Faubert,Turgeau,Port-au-Prince,Ouest,HT6113,1,1,1,410,,
domestic,Lycée Marie Jeanne,2250,9,HT,Rue Pavée,Centre-Ville,Port-au-Prince,Ouest,HT6110,1,1,1,410,,Pou sektè Martissant
domestic,École Nationale République du Chili,1800,8,HT,Ruelle Vaillant,Martissant 4,Port-au-Prince,Ouest,HT6110,1,1,1,410,,
domestic,Collège Fernand Prosper,1350,7,HT,Rue Camille Léon,Martissant 23,Port-au-Prince,Ouest,HT6110,1,1,1,410,,
domestic,École Nationale Argentine Bellegarde,2250,9,HT,Rue Fontamara 43,Fontamara,Port-au-Prince,Ouest,HT6110,1,1,1,410,,
domestic,Lycée National Cent Cinquantenaire,2700,10,HT,Rue Fontamara 27,Fontamara,Port-au-Prince,Ouest,HT6110,1,1,1,410,,
domestic,Institution Mixte Saint-Joseph de Fontamara,1350,7,HT,Rue Fontamara 65,Fontamara,Port-au-Prince,Ouest,HT6110,1,1,1,410,,
domestic,Lycée Firmin,2700,10,HT,Boulevard Jean-Jacques Dessalines,Bel-Air,Port-au-Prince,Ouest,HT6111,1,1,1,410,,
domestic,École Nationale Jean-Jacques Dessalines,2250,9,HT,Grand-Rue,Bel-Air,Port-au-Prince,Ouest,HT6111,1,1,1,410,,
domestic,École République de l'Équateur,1350,7,HT,Rue Tiremasse,Bel-Air,Port-au-Prince,Ouest,HT6111,1,1,1,410,,
domestic,Lycée Jean-Marie Vincent,3150,10,HT,Route de Delmas,Delmas 31,Delmas,Ouest,HT6120,1,1,2,412,,Sant prensipal Delmas 1re Seksyon
domestic,École Nationale de Delmas,2700,10,HT,Delmas 33,Delmas 33,Delmas,Ouest,HT6120,1,1,2,412,,
domestic,Collège Bird,2250,9,HT,Delmas 19,Delmas 19,Delmas,Ouest,HT6120,1,1,2,412,,
domestic,Institution Mixte Frère Odile Joseph,1800,8,HT,Delmas 41,Delmas 41,Delmas,Ouest,HT6120,1,1,2,412,,
domestic,Collège Roger Anglade,1350,7,HT,Delmas 75,Delmas 75,Delmas,Ouest,HT6120,1,1,2,412,,
domestic,École Nationale Argentine,1350,7,HT,Delmas 95,Delmas 95,Delmas,Ouest,HT6120,1,1,2,412,,
domestic,École Nationale Saint-Martin,2250,9,HT,Rue Saint-Martin,Saint-Martin,Delmas,Ouest,HT6120,1,1,2,412,,
domestic,Lycée Anténor Firmin,2700,10,HT,Rue Saint-Martin,Saint-Martin,Delmas,Ouest,HT6120,1,1,2,412,,
domestic,Institution Mixte Saint-Martin,1800,8,HT,Rue Charrette,Saint-Martin,Delmas,Ouest,HT6120,1,1,2,412,,
domestic,École Nationale Carrefour,2250,9,HT,Route Nationale 2,Carrefour Centre,Carrefour,Ouest,HT6130,1,1,3,414,,Morne l'Hôpital
domestic,Lycée Célie Lamour,2700,10,HT,Rue Marché Carrefour,Carrefour Centre,Carrefour,Ouest,HT6130,1,1,3,414,,
